UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   55298   Words
   49193   Misrecognized
   11.04%  Accuracy

Stopwords
   Count   Missed   %Right   Length
      16       15     6.25   dia
       9        8    11.11   diamanter
       1        1     0.00   die
      23       17    26.09   dig
      27       24    11.11   digt
       9        9     0.00   dikt
       9        9     0.00   diktar
       9        9     0.00   dimban
       9        9     0.00   disputer
       9        9     0.00   dit
      18       18     0.00   diuret
       9        9     0.00   diurgã
       9        9     0.00   djt
      17       17     0.00   dla
       9        9     0.00   dlare
       9        9     0.00   dlidandes
       9        8    11.11   dman
       8        8     0.00   dmiuk
      18       17     5.56   dning
       9        9     0.00   dningar
       8        7    12.50   doch
      51       49     3.92   dock
       9        9     0.00   doctor
       7        7     0.00   dogmatice
      10        9    10.00   domare
       8        8     0.00   domaren
       9        9     0.00   domares
       9        9     0.00   domen
       1        1     0.00   domstolarne
       9        9     0.00   dosis
       8        8     0.00   dragas
       8        8     0.00   drengen
      17       17     0.00   drifwa
       9        8    11.11   drifwande
       9        9     0.00   dristigt
       9        9     0.00   drog
       8        8     0.00   dryga
       9        9     0.00   drã
       9        9     0.00   ds
      62       54    12.90   du
       9        8    11.11   dubbel
       9        9     0.00   dugelighet
       9        9     0.00   dum
       9        9     0.00   dumhet
       9        9     0.00   dumt
       8        8     0.00   dunder
      16       15     6.25   dygd
       9        9     0.00   dylika
       9        9     0.00   dylikt
       9        9     0.00   dyrare
       9        9     0.00   dyraste
       9        9     0.00   dyrkan
       9        9     0.00   dz
       9        9     0.00   dzel
     302      273     9.60   dã
      18       17     5.56   edert
      18       18     0.00   effecter
      69       64     7.25   effter
      17       16     5.88   efter
       8        8     0.00   egennytta
       9        8    11.11   egennyttan
       9        8    11.11   eget
       9        9     0.00   egit
       8        8     0.00   egna
       9        9     0.00   egne
      18       18     0.00   ehrenmenvet
      18       16    11.11   ehuru
       9        9     0.00   elacka
       9        8    11.11   eljest
     163      148     9.20   eller
       9        8    11.11   elliest
       9        9     0.00   elã
      18       16    11.11   emedan
       9        9     0.00   emedlertid
      26       24     7.69   emellan
       9        9     0.00   emot
     822      658    19.95   en
      45       43     4.44   ena
       9        9     0.00   encouragera
       7        7     0.00   enda
      18       16    11.11   ende
       9        9     0.00   enfaldigt
      27       27     0.00   engelland
       9        9     0.00   engelske
       8        8     0.00   ensamme
       8        8     0.00   ensidig
       9        9     0.00   enskylt
       1        1     0.00   enskylte
       8        8     0.00   epitre
      17       16     5.88   er
      26       26     0.00   et
      72       72     0.00   etc
     237      233     1.69   ett
       8        8     0.00   europa
       8        8     0.00   europã
       9        9     0.00   eva
       9        9     0.00   ex
       9        9     0.00   exempel
      44       43     2.27   ey
       9        9     0.00   fader
       8        7    12.50   fadren
       9        9     0.00   fahra
       9        9     0.00   falsk
       9        9     0.00   falskheten
       9        9     0.00   familier
       9        9     0.00   fasa
       9        9     0.00   faseligt
      96       96     0.00   fast
       9        9     0.00   fasta
       9        9     0.00   fastare
       9        9     0.00   fastbunden
       9        9     0.00   fatta
       8        8     0.00   fattades
      18       17     5.56   fattigdom
       9        9     0.00   fattigt
       9        9     0.00   favorit
       9        9     0.00   favorits
       8        7    12.50   fde
       9        9     0.00   fehl
       7        7     0.00   fel
       9        9     0.00   femte
       9        9     0.00   femtusend
       8        7    12.50   fftad
       8        8     0.00   fftighet
      17       17     0.00   fick
       9        8    11.11   fiende
       9        9     0.00   figure
       9        9     0.00   finger
      16       16     0.00   fingo
       9        9     0.00   fingrar
      27       27     0.00   finna
      18       16    11.11   finnas
      10       10     0.00   finner
       7        7     0.00   fiollugt
       9        9     0.00   fiã
       8        8     0.00   fla
       9        9     0.00   flade
       9        9     0.00   flat
      10       10     0.00   flera
       9        9     0.00   fligt
      35       32     8.57   flit
       8        8     0.00   flitig
       9        9     0.00   flugor
       8        8     0.00   flycktar
       9        9     0.00   flyttas
      33       33     0.00   flã
       9        9     0.00   fogdar
      51       49     3.92   folck
      18       17     5.56   folk
       9        9     0.00   folke
      15       15     0.00   folket
       9        9     0.00   folks
       8        8     0.00   fordom
      18       17     5.56   fort
      61       54    11.48   fram
      17       15    11.76   framfã
       8        8     0.00   fransoserne
       8        8     0.00   fransã
       8        8     0.00   fred
       1        1     0.00   fredric
       9        8    11.11   fremmande
      18       18     0.00   fri
      18       17     5.56   friga
      18       18     0.00   frigit
      17       16     5.88   frihet
       9        8    11.11   fring
      17       17     0.00   frisprã
       9        8    11.11   fru
      18       18     0.00   fruentimmer
      18       18     0.00   fruentimmers
       8        8     0.00   fruentimret
      18       18     0.00   fruer
       9        9     0.00   frukten
       9        9     0.00   frukter
     114       96    15.79   frã
       9        9     0.00   fuhl
      18       18     0.00   fulla
       9        8    11.11   fuller
       9        9     0.00   fullmã
       9        9     0.00   fullproppa
       9        9     0.00   fullt
       9        8    11.11   funnit
       7        7     0.00   furstars
       9        9     0.00   fven
       9        8    11.11   fwa
       9        8    11.11   fwade
      10        9    10.00   fwas
      43       41     4.65   fwen
       8        8     0.00   fwentyrliga
       9        9     0.00   fwentyrs
      77       72     6.49   fwer
       9        9     0.00   fwerdã
       9        9     0.00   fwerens
       9        8    11.11   fwerflã
       1        0   100.00   fwerherden
       9        9     0.00   fwerheten
       8        8     0.00   fwerhetz
       9        8    11.11   fwerlopp
       7        6    14.29   fwertyga
       8        8     0.00   fwor
       7        6    14.29   fyra
       9        9     0.00   fyrk
    1630      921    43.50   fã
      79       73     7.59   g
      78       74     5.13   ga
